oid,title_origin,title,slug,slug_title,actors,directors,Year
52b3bd71c96928352aadf616,Monster Jellyfish,Sứa Khổng Lồ Nomura - Monster Jellyfish,sua khong lo nomura monster jellyfish,sua-khong-lo-nomura-monster-jellyfish,[u'Tom Streithorst'],[u'Jesse Stern'],2010
576ca1e917dc1352b243cf89,,Masan - Sự Kiện 22/6,masan su kien 226,masan-su-kien-226,[],[],
52cb58dac96928252444455b,Aftershock,Đường Sơn Đại Địa Chấn - Aftershock,duong son dai dia chan aftershock,duong-son-dai-dia-chan-aftershock,"[u'Fan Xu', u'Jingchu Zhang', u'Chen Li', u'Zi-feng Zhang', u'Jiajun Zhang']",[u'Xiaogang Feng'],2014
534cd4d5c96928320517fce1,Don't Click,Đừng Nhấn - Don't Click,dung nhan dont click,dung-nhan-dont-click,"[u'Joo Won', u'Kang Byeol', u'Park Bo Yeong']",[u'Kim Tae Kyeong'],2012
5460764e17dc1324fa316968,Confession of Murder,Lời thú tội của kẻ sát nhân - Confession of Murder,loi thu toi cua ke sat nhan confession of murder,loi-thu-toi-cua-ke-sat-nhan-confession-of-murder,"[u'Jeong Jae Yeong', u'Park Si Hoo', u'Jang Gwang']",[u'Jung Byung Gil'],2012
56f0f73b17dc132d37183f95,Yeolhansi,11 AM - Yeolhansi,11 am yeolhansi,11-am-yeolhansi,"[u'Jae-yeong Jeong', u'Ok-bin Kim', u'Daniel Choi']",[u'Seung-Hwan Lee'],2014
59a794a15583206944bf53b0,The House That Never Dies 2,Nhà Số 81 Kinh Thành 2 - The House That Never Dies 2,nha so 81 kinh thanh 2 the house that never dies 2,nha-so-81-kinh-thanh-2-the-house-that-never-dies-2,"[u'Chung H\xe2n \u0110\u1ed3ng', u'Mai \u0110\xecnh', u'Tr\u01b0\u01a1ng Ch\xed L\xe2m']",[u'Ti\u1ec1n Nh\xe2n H\xe0o'],2017
59a906345583206944bf6382,Phantom of the Theatre,Ma Cung Mị Ảnh (Bóng Ma Trong Nhà Hát) - Phantom of the Theatre,ma cung mi anh bong ma trong nha hat phantom of the theatre,ma-cung-mi-anh-bong-ma-trong-nha-hat-phantom-of-the-theatre,"[u'L\xe2m T\xe2m Nh\u01b0', u'D\u01b0\u01a1ng H\u1ef1u Ninh', u'Nh\u1eadm \u0110\u1ea1t Hoa']",[u'Raymond Yip'],2016
534cd4d5c96928320517fce1,Don't Click,Đừng Nhấn - Don't Click,dung nhan dont click,dung-nhan-dont-click,"[u'Joo Won', u'Kang Byeol', u'Park Bo Yeong']",[u'Kim Tae Kyeong'],2012
546af5f817dc137649285542,,Tiền Học Sâm - Cha Đẻ Tàu Thần Châu,tien hoc sam cha de tau than chau,tien-hoc-sam-cha-de-tau-than-chau,"[u'Tr\u1ea7n Kh\xf4n ( Aloys Chen)', u'Tr\u01b0\u01a1ng V\u0169 K\u1ef3', u'Tr\u01b0\u01a1ng Thi\u1ebft L\xe2m']",[u'Tr\u01b0\u01a1ng Ki\u1ebfn \xc1'],2012
